Concept,Consensus,Shared_Factors_GCD,Extra_Factors_all-MiniLM-L6-v2,Extra_Factors_paraphrase-MiniLM-L3-v2
Britain,False,"[5, 7, 11, 19, 29]","[2, 3, 17]",[13]
thenar,False,"[2, 17]","[3, 13]","[5, 11, 19, 29]"
Av,False,"[3, 5, 11, 29]",[7],"[13, 19]"
meliorism,False,"[3, 5, 11, 19, 29]",[2],"[7, 13, 17, 23]"
PRC,False,"[11, 29]","[5, 17]","[2, 3]"
Aken,False,"[3, 7, 29]","[2, 5, 23]","[11, 19]"
rigorousness,False,"[2, 5, 11, 17]",[],"[3, 19]"
draughtsman,False,"[2, 3, 5, 11, 19, 29]",[],[13]
hypsometer,False,"[2, 3]","[11, 13, 23, 29]","[5, 17, 19]"
convalescent,False,"[5, 19]","[11, 29]","[3, 17]"
sonatina,False,"[2, 3, 5, 7, 13, 29]","[11, 19]",[17]
anatomy,False,"[2, 11, 13, 19, 29]",[],"[5, 17]"
telepathist,False,"[5, 11, 19, 29]","[2, 13]","[3, 7, 17, 23]"
entry,False,"[2, 3, 19]","[7, 29]",[17]
corespondent,False,"[5, 11, 19]","[2, 3, 29]","[13, 17]"
griddle,False,"[2, 5, 17, 19, 29]","[3, 13]",[11]
convergency,False,"[11, 17, 29]","[2, 3]","[5, 19]"
crop,False,"[19, 29]","[3, 13, 23]","[5, 11]"
vivarium,False,"[2, 7, 11, 29]",[13],"[5, 19, 23]"
uterus,False,"[2, 5, 17, 19, 23, 29]",[11],"[3, 7, 13]"
infection,False,"[2, 3, 11, 17, 23, 29]",[5],"[7, 19]"
blockhouse,False,"[2, 5, 11, 13, 17, 29]",[3],"[7, 19, 23]"
persuasion,False,"[3, 19]",[17],"[2, 5, 11, 29]"
equipment,False,"[2, 3, 5, 23, 29]",[],"[11, 19]"
Spode,False,"[5, 7, 11, 19]","[3, 29]","[17, 23]"
schoolmate,False,"[2, 5, 13, 19, 23, 29]",[3],[7]
anaphor,False,"[3, 11, 17, 29]","[2, 5, 7, 19]",[23]
hustler,False,"[2, 3]",[29],[5]
distemper,False,"[2, 3, 5, 17, 19, 29]","[7, 13]",[11]
racecourse,False,"[2, 3, 7, 13]","[5, 17]",[]
Sillaginidae,False,"[5, 7, 11, 29]","[3, 13]","[2, 19, 23]"
Pleuronectidae,False,"[2, 11]",[13],"[7, 19]"
tensity,False,"[3, 29]","[2, 7, 13]","[5, 11, 17, 19]"
Sacco,False,[19],[29],"[3, 5, 7, 11]"
neurilemma,False,"[3, 7, 11, 13, 17]","[2, 5]",[19]
straining,False,"[3, 5, 29]",[],"[11, 13, 19]"
Zizania,False,"[7, 19]",[13],"[2, 3, 17, 23, 29]"
salvage,False,"[3, 5, 7]",[],"[2, 13]"
Saxifragaceae,False,"[2, 5, 11, 13, 19]",[17],[3]
resonance,False,"[2, 3, 5, 29]",[],"[11, 13, 17]"
welter,False,"[3, 5]","[7, 13, 29]",[2]
nerves,False,"[3, 17, 19, 29]","[2, 13]","[11, 23]"
Myotis,False,"[3, 13, 29]","[2, 11]","[17, 19]"
boilersuit,False,"[3, 5, 13, 19, 29]","[2, 7]","[11, 17, 23]"
acreage,False,"[3, 7, 11]",[23],"[13, 17, 19, 29]"
comfortableness,False,"[2, 5, 13, 19, 29]","[17, 23]","[3, 11]"
Damascene,False,"[7, 29]","[2, 19]","[13, 17]"
bullshot,False,"[2, 3, 7]","[13, 29]","[11, 19]"
investment,False,"[3, 5, 7, 17]",[2],"[11, 19]"
libeler,False,"[2, 11, 17, 19]","[3, 5, 7, 29]",[23]
Elsass,False,"[2, 17, 29]","[3, 13, 19]","[5, 7]"
snack,False,"[5, 11, 17, 29]",[3],"[2, 13]"
fortnight,False,"[2, 11, 19, 29]","[3, 7]","[5, 13]"
cabin,False,"[3, 7, 11, 13, 19, 29]","[2, 17]",[5]
MBA,False,"[3, 5, 19]",[17],[2]
Landsmal,False,"[3, 11, 19]","[2, 5]","[7, 29]"
donor,False,"[3, 5, 7]","[11, 17]",[2]
gula,False,"[2, 3, 5, 19, 29]",[],[23]
mini,False,"[2, 3, 5, 7, 13, 19]",[],"[11, 29]"
melody,False,"[2, 3, 7, 11, 29]",[],"[5, 19]"
Calamus,False,"[11, 17, 29]",[3],"[5, 13, 19]"
bullethead,False,"[2, 13, 29]","[3, 19]","[7, 11]"
erection,False,"[3, 5, 11, 19, 29]","[2, 13, 17]",[7]
riskiness,False,"[3, 13, 17, 19, 29]",[],"[2, 11]"
treble,False,"[3, 19]","[2, 29]","[5, 11]"
vulgariser,False,"[2, 3, 5, 19, 29]",[17],[]
ransom,False,"[2, 3, 7, 11, 17]",[],[19]
Antennariidae,False,[11],"[3, 5, 29]","[2, 7, 13, 17, 19]"
Bathsheba,False,"[3, 5, 13, 19]",[17],"[2, 7, 11]"
yeti,False,"[2, 17, 19, 29]","[3, 13]","[5, 11]"
lightship,False,"[2, 3, 5, 19, 29]",[],"[11, 23]"
Smiledon,False,[29],"[2, 7, 13]","[3, 5, 19]"
spherocyte,False,"[11, 29]",[],"[5, 7, 23]"
coelostat,False,"[5, 29]","[2, 3, 13]",[19]
coldness,False,"[2, 3, 5, 11, 13, 17, 29]",[],[19]
mire,False,"[2, 3, 5, 7, 11, 23]","[17, 19, 29]",[]
Brahmanism,False,"[5, 11]",[],"[2, 3, 7, 17, 19, 23]"
nonuniformity,False,[],[13],"[2, 3, 5, 19]"
rydberg,False,"[2, 3, 17, 19, 29]",[],"[7, 13]"
enterobacteria,False,"[2, 5, 19, 23]","[11, 29]","[3, 7, 17]"
dobsonfly,False,"[2, 5, 19]","[3, 13, 23]","[7, 11, 29]"
marriageability,False,"[2, 5, 13, 17, 19]","[3, 11, 23]",[29]
Peleus,False,"[5, 11, 19, 29]","[2, 3, 7, 13]",[23]
Uma,False,"[2, 3, 19]","[7, 13]","[17, 29]"
mammilla,False,"[2, 29]","[3, 5, 13]","[17, 19]"
allurement,False,"[2, 3, 5, 11, 19]","[7, 13]","[17, 23, 29]"
centare,False,"[3, 7, 17, 19]","[2, 5, 13]","[11, 29]"
opium,False,"[2, 5]","[3, 11, 19]","[23, 29]"
accompaniment,False,"[2, 5, 29]","[7, 11, 17, 19]","[3, 23]"
trichuriasis,False,"[3, 13, 17, 29]","[2, 11]","[5, 19, 23]"
unfriendliness,False,"[3, 13, 19, 23, 29]",[],"[2, 5, 11]"
thanatophobia,False,"[2, 3, 5, 13, 17, 19, 29]",[11],[23]
stock,False,"[2, 3, 5, 13, 19]",[29],"[7, 11]"
Hexanchidae,False,"[5, 11, 17]","[3, 13]","[2, 19, 23, 29]"
shekel,False,"[2, 13, 17, 19, 29]",[3],"[7, 11]"
Khanty,False,"[3, 5, 11, 17, 23, 29]","[2, 13, 19]",[]
kraal,False,"[3, 5]","[2, 11]","[7, 17, 29]"
waving,False,"[3, 29]","[5, 13]","[2, 7, 19, 23]"
lay,False,"[11, 19]",[3],"[13, 17]"
lungfish,False,"[11, 13]","[3, 5, 17, 29]","[2, 7]"
IQ,False,"[5, 11, 13, 29]","[3, 17]",[]
eatable,False,"[2, 5, 13, 17, 29]","[3, 19]","[11, 23]"
chalcanthite,False,"[3, 5, 13]",[11],"[2, 23, 29]"
selling,False,"[2, 3, 5, 13, 19]",[7],[]
anesthyl,False,"[5, 13, 19, 29]","[7, 11]","[17, 23]"
illustrator,False,"[2, 5, 19]","[3, 7]","[11, 23]"
mapmaking,False,[29],"[13, 17, 23]","[2, 19]"
albuginea,False,"[3, 5, 13, 29]",[2],"[11, 17, 23]"
feverroot,False,"[2, 3, 13, 17]","[5, 7]","[19, 23, 29]"
Guaira,False,"[3, 29]","[2, 5]","[11, 19, 23]"
coon,False,"[2, 3, 29]","[7, 11, 13]","[5, 17, 19, 23]"
silicosis,False,"[7, 17, 29]","[11, 13]","[5, 23]"
Bath,False,"[3, 7, 11, 13, 17, 19]","[2, 5]",[]
whorl,False,"[2, 3, 19, 29]","[7, 13]","[5, 11]"
gibberish,False,"[19, 29]","[3, 13]","[5, 11]"
adactyly,False,"[2, 3, 13, 29]","[5, 11, 19]","[17, 23]"
lexicography,False,[29],"[2, 11, 13]","[5, 19]"
fervor,False,"[2, 3, 5, 23, 29]",[],"[11, 19]"
Zapotecan,False,"[17, 23, 29]","[2, 3, 13]","[5, 19]"
withering,False,"[2, 17, 19]","[3, 5, 7, 11, 13, 29]",[]
areola,False,"[13, 17]","[3, 5]","[7, 19, 29]"
efficaciousness,False,"[3, 13, 19, 29]","[2, 11]","[5, 17]"
exudation,False,"[7, 29]","[2, 3]","[13, 17, 19, 23]"
Orange,False,"[19, 29]","[3, 7, 11]","[13, 23]"
taboo,False,"[2, 3, 19, 29]","[11, 13, 23]","[5, 17]"
stylostixis,False,"[2, 5]","[13, 29]","[7, 11, 17, 19, 23]"
muzhik,False,"[3, 5, 19]",[11],"[2, 17, 23, 29]"
chaplainship,False,"[2, 3, 5]",[19],"[7, 11]"
prepuberty,False,"[2, 3, 5, 19]","[11, 17]","[13, 29]"
aftershock,False,"[2, 3, 17, 19, 29]",[13],[7]
Cavia,False,"[11, 13, 29]","[2, 3, 7]","[5, 17]"
pilocarpine,False,"[11, 13, 17, 29]","[3, 19]","[2, 23]"
kingbolt,False,"[2, 3, 11, 19, 29]",[],"[7, 13, 17, 23]"
cadenza,False,"[2, 3, 5, 29]","[11, 19]",[]
Briss,False,"[3, 5, 13]","[2, 29]",[19]
mirasol,False,"[2, 3, 7, 19, 23]","[5, 29]","[11, 17]"
fastness,False,"[2, 5, 13, 29]",[],"[3, 11, 17, 19]"
bulletin,False,"[3, 13, 29]","[7, 23]","[2, 5]"
Telosporidia,False,"[5, 11, 29]",[13],"[7, 19, 23]"
monosaccharide,False,[5],[29],"[2, 11, 23]"
hatbox,False,"[3, 19, 29]","[13, 17]","[2, 5, 7]"
flyweight,False,"[17, 19, 29]","[3, 5, 23]","[7, 11, 13]"
Ionia,False,"[13, 17]","[2, 5]","[3, 11, 23, 29]"
Adrianopolis,False,"[2, 7, 11, 13, 29]","[3, 5]","[17, 23]"
Azactam,False,"[3, 17]","[5, 11, 13]",[2]
tightwad,False,"[2, 3, 5, 11, 19]",[],[7]
yelling,False,"[3, 7, 13, 17, 19, 29]",[2],[]
Panicum,False,"[3, 7, 17, 29]",[2],"[13, 19]"
debauchee,False,[2],"[3, 7, 17, 19]","[5, 13]"
Scomberesox,False,[19],"[3, 29]","[2, 5, 11, 17]"
byre,False,"[2, 3, 5, 17]","[7, 13, 19, 29]",[]
Cnidaria,False,"[19, 29]","[5, 11, 13]",[17]
cushion,False,"[2, 5, 11, 13]","[17, 29]","[3, 7, 19, 23]"
calamity,False,"[11, 13, 17, 29]","[2, 3]",[5]
shirtlifter,False,"[2, 3, 5]",[19],"[13, 17, 23, 29]"
halfpenny,False,"[5, 11, 19, 29]","[2, 3, 7, 13]",[17]
Genevan,False,"[2, 17]","[3, 5, 7, 29]",[11]
Macruridae,False,"[7, 19, 29]","[2, 5]","[11, 17]"
pistia,False,"[3, 11, 13, 29]","[7, 19]","[5, 17]"
sparid,False,"[2, 3, 5, 7, 19, 29]",[13],[17]
amoxicillin,False,"[3, 5, 17]","[13, 19, 29]",[2]
mujahadeen,False,"[2, 3, 5, 7]",[23],"[11, 13]"
Pleistocene,False,[7],"[2, 3, 11, 13, 29]","[17, 19]"
minyan,False,"[3, 11]","[5, 7]","[17, 19, 29]"
Melicoccus,False,"[5, 11, 13, 29]","[3, 19]","[2, 7, 23]"
colouring,False,"[13, 19, 29]","[3, 17]","[2, 5]"
balaclava,False,"[2, 3, 29]","[5, 11, 19]","[7, 17, 23]"
platelet,False,[29],"[3, 5, 13, 17]","[2, 23]"
acquirement,False,"[2, 11, 19, 29]",[3],"[5, 7]"
steamfitter,False,"[2, 3, 5, 13, 19, 29]",[],"[11, 17]"
Psettichthys,False,"[13, 29]","[2, 3, 11, 19]","[5, 17]"
Abecedarian,False,"[7, 11, 19, 29]","[2, 3, 5]",[17]
taximan,False,"[2, 3, 5, 11]",[19],"[17, 29]"
hydromancer,False,"[2, 5, 23, 29]",[3],[11]
ectoproct,False,"[2, 17, 29]",[],"[3, 5, 7, 23]"
dogsled,False,"[2, 5, 13, 17, 19]","[3, 23, 29]","[7, 11]"
preseason,False,"[2, 3, 5, 19]","[7, 17, 29]",[13]
Archaeozoic,False,"[5, 7, 11, 17, 29]",[],[19]
ideal,False,"[3, 5, 7, 11, 13, 17, 19]",[29],[2]
paraprofessional,False,"[2, 3, 5, 17]",[],"[11, 29]"
consolidation,False,"[7, 19]","[3, 5, 11, 29]",[13]
birdbrain,False,"[2, 5, 7, 11, 19]","[3, 17]",[29]
semitransparency,False,[3],"[7, 11, 13, 29]","[5, 17]"
Saladin,False,"[3, 13, 19, 23, 29]","[2, 5, 7, 17]",[]
caparison,False,"[2, 5, 19]","[3, 13, 29]",[]
Columba,False,"[3, 17]","[2, 5]","[7, 13, 19]"
weightlifting,False,"[2, 3, 5, 19]","[13, 17]",[7]
NW,False,"[2, 3, 19, 29]","[17, 23]","[7, 11]"
chough,False,"[3, 5]","[2, 11, 29]","[13, 17, 19]"
syndicate,False,"[2, 29]","[7, 11, 13]","[3, 5, 19]"
para,False,"[2, 3, 7, 19, 29]",[],"[5, 11]"
trachodont,False,"[3, 5]","[2, 11]","[13, 17, 19]"
breastbone,False,"[2, 7, 11]","[3, 17, 29]","[5, 13, 19]"
comfit,False,"[2, 3, 19, 23, 29]","[7, 13]","[5, 17]"
horsemanship,False,"[2, 3, 7, 11]","[13, 17]",[]
Sarnoff,False,"[5, 17]","[2, 3, 13, 19, 29]",[23]
chipping,False,"[5, 13, 17, 19]","[3, 29]",[]
dissymmetry,False,"[5, 13, 17, 29]","[2, 11, 19]",[]
redpoll,False,"[2, 3, 5, 29]","[13, 17]",[]
cutch,False,"[5, 29]","[2, 3, 11]","[17, 19]"
morass,False,"[2, 3, 17]","[5, 19, 29]",[7]
maulers,False,"[2, 5, 7, 29]",[3],"[11, 19, 23]"
periarteritis,False,"[5, 11, 29]","[2, 7, 13, 17]","[3, 19]"
hewer,False,"[3, 5, 19, 29]","[2, 23]","[7, 17]"
basketry,False,"[5, 13, 19, 29]","[2, 3]",[]
microbe,False,"[3, 5]",[23],"[11, 19]"
magistracy,False,"[2, 3, 5, 19, 23, 29]",[13],[17]
put,False,"[5, 17, 19]","[3, 7, 13, 29]",[2]
dither,False,"[2, 19]","[3, 13, 23, 29]","[5, 7, 11]"
demesne,False,[],"[2, 7, 19]","[3, 17, 29]"
dustman,False,"[2, 3, 11, 13, 17, 19]",[5],"[23, 29]"
perchlorate,False,[29],"[3, 5, 19]","[11, 13, 17, 23]"
watercolourist,False,"[2, 3, 5, 17, 23]",[19],[11]
babbitting,False,"[3, 5, 19]",[2],[13]
schnorrer,False,"[2, 3, 5, 19]",[29],[17]
Kirghiz,False,"[5, 11, 29]","[2, 3]","[13, 17]"
tendrac,False,"[3, 5, 13, 19]","[7, 29]","[11, 23]"
trophozoite,False,"[11, 29]","[3, 5]","[2, 17, 19, 23]"
Sardis,False,"[2, 7, 11, 17, 19]",[29],[5]
Aspalathus,False,"[3, 5, 13, 29]",[19],"[7, 17]"
squinch,False,"[3, 5, 11, 29]",[2],"[13, 17]"
neoexpressionism,False,"[5, 11, 17, 19, 29]","[2, 3]",[]
rosebush,False,"[17, 19, 29]","[2, 3]",[5]
Masonite,False,"[2, 5, 7, 11, 13]",[3],[19]
Augustus,False,"[3, 5, 7, 11, 17, 29]","[2, 13, 19]",[]
functionalist,False,"[5, 11, 17, 29]","[3, 19, 23]",[]
WIMP,False,"[3, 17, 23]","[2, 5, 13, 29]",[19]
analphabetic,False,"[5, 17, 29]",[2],"[3, 13]"
Pithecellobium,False,"[17, 19]","[2, 29]","[5, 7, 13]"
loungewear,False,"[2, 5, 7, 13, 19, 29]",[3],[11]
Asio,False,"[3, 13, 17, 29]",[],"[2, 7]"
kalantas,False,"[3, 7, 17, 19, 29]","[2, 5]",[23]
fleabag,False,"[3, 5, 11]","[2, 19]",[13]
Geronimo,False,"[3, 19, 29]","[2, 7, 11]","[5, 17, 23]"
Torpediniformes,False,"[5, 19, 29]",[7],"[2, 11]"
porkpie,False,"[2, 5, 7, 13, 17]","[3, 29]",[19]
homogeny,False,"[19, 29]",[7],"[2, 5, 11, 13, 17]"
Polygonia,False,"[11, 17, 19, 29]",[3],[13]
hoopoe,False,"[2, 3, 5, 29]",[17],"[7, 19]"
decanter,False,"[2, 3, 5, 19]",[7],"[11, 29]"
catabiosis,False,"[2, 17, 19, 29]",[],"[5, 11, 13]"
FOTS,False,[29],"[3, 5, 13, 23]","[17, 19]"
ADD,False,"[5, 7]","[3, 11, 13, 29]","[2, 19]"
Masters,False,"[2, 3, 5, 7, 11, 19]",[29],[]
corbel,False,"[2, 3, 5, 29]",[7],[23]
German,False,"[2, 5, 17, 19, 29]",[3],[7]
unanimity,False,"[2, 11, 19, 29]",[13],"[3, 5, 17]"
rosette,False,"[19, 29]","[2, 3]",[]
petrology,False,"[5, 29]",[],"[2, 3, 17, 23]"
biohazard,False,[3],[],"[5, 11, 17, 29]"
householder,False,"[3, 5, 11, 17]","[7, 19]",[13]
lithograph,False,"[3, 5, 29]",[],"[2, 19]"
obeisance,False,"[3, 11, 13, 29]",[19],[17]
Phoca,False,"[3, 13, 17, 29]","[19, 23]","[5, 11]"
owner,False,"[2, 3, 5, 7, 11, 19, 29]",[],"[13, 17]"
streetlight,False,"[2, 3, 5, 29]",[19],"[11, 17, 23]"
arbalest,False,"[5, 11]","[2, 3, 7, 29]","[17, 19]"
Conrad,False,"[2, 3, 13, 19]","[5, 11, 29]",[7]
rascal,False,"[3, 5, 17, 19, 29]","[13, 23]",[7]
scyphus,False,"[2, 3, 5, 11, 19]","[7, 29]",[17]
motherland,False,"[2, 3, 7, 17, 19]","[5, 11, 29]",[13]
mien,False,"[2, 7, 19, 29]","[3, 13, 23]",[17]
abetalipoproteinemia,False,"[5, 11, 13, 17]","[3, 23]","[7, 29]"
oxidizer,False,[13],"[3, 5, 23]","[11, 17, 29]"
hemostat,False,"[3, 5]","[2, 11, 13, 29]",[]
parakeet,False,"[5, 7, 11, 19, 29]","[2, 3]",[13]
otoscope,False,"[2, 3, 29]",[13],"[17, 19, 23]"
mithan,False,"[5, 11, 19]","[2, 13]","[7, 17, 29]"
tabby,False,"[2, 5, 11, 13, 19]",[29],[]
Viminaria,False,"[7, 11, 29]","[2, 5]","[17, 19, 23]"
cephaloglycin,False,"[17, 29]","[13, 19]",[23]
Best,False,"[2, 3, 5, 11, 13, 19]","[7, 29]",[]
pitahaya,False,"[17, 19, 29]","[2, 3]","[7, 23]"
rheumatism,False,"[2, 3, 5, 17]","[11, 13, 29]",[]
opulence,False,"[2, 3, 11, 17, 29]","[7, 19]","[5, 23]"
Maalox,False,"[2, 5, 13, 29]",[3],"[17, 19, 23]"
malversation,False,"[3, 11, 17, 19, 29]",[2],"[5, 13, 23]"
evidence,False,"[3, 17]","[13, 29]",[7]
Hesiod,False,"[3, 7, 19]","[2, 11, 13]","[5, 17, 29]"
Pasigraphy,False,"[2, 5, 19, 29]","[7, 11, 13]",[3]
cathartic,False,"[2, 3, 5, 29]",[17],"[11, 19, 23]"
flyway,False,"[2, 3, 5, 13, 17, 19, 29]",[],"[7, 11, 23]"
subdivider,False,"[5, 11]",[3],"[2, 17, 19]"
marble,False,"[3, 5, 13, 17]",[2],"[7, 11]"
panellist,False,"[5, 13, 19, 29]","[3, 11, 23]",[2]
Ull,False,"[2, 3, 5, 29]","[7, 13]","[11, 19, 23]"
angstrom,False,[29],[3],"[2, 11, 13, 17, 23]"
Amphioxidae,False,"[5, 11, 29]",[],"[2, 13, 17, 19]"
harpist,False,"[2, 3, 5]","[7, 17, 19]",[11]
taphouse,False,"[5, 11, 19, 29]","[2, 3, 17]",[7]
obscenity,False,"[2, 3, 13, 19]",[29],"[7, 11, 17, 23]"
funiculus,False,"[3, 11, 13, 29]","[2, 5, 7]",[19]
Loniten,False,"[2, 3, 5, 19, 29]","[7, 13]","[11, 23]"
Firenze,False,"[2, 3]","[19, 29]",[17]
lowland,False,"[3, 29]",[],"[5, 11, 13, 19, 23]"
clarion,False,"[2, 3, 7, 29]","[11, 19]",[5]
fraxinella,False,"[13, 29]","[2, 5, 23]",[17]
cymene,False,"[5, 11, 29]","[3, 13, 17, 19]",[2]
Aerobacter,False,"[5, 19, 29]",[17],"[2, 3, 7, 11, 23]"
nape,False,"[3, 5, 7, 11, 19]","[2, 13]",[]
carillon,False,"[2, 3, 5, 29]","[13, 19]",[17]
dovecote,False,"[3, 5, 7, 11, 19]",[],"[2, 29]"
bailey,False,"[2, 5, 13, 19]","[3, 29]","[7, 11]"
monarch,False,"[7, 11, 17, 19, 29]","[2, 3, 5]",[23]
spongioblastoma,False,"[3, 5, 11, 17]",[29],[7]
ravenousness,False,"[2, 3, 5, 11, 17, 19, 29]",[13],[7]
Aesculapius,False,"[3, 5, 29]","[2, 13]","[7, 11, 17, 19, 23]"
sweetsop,False,"[2, 5, 11, 17, 29]",[3],"[13, 19]"
rhyolite,False,"[5, 29]","[3, 23]","[13, 17]"
biometry,False,"[13, 29]",[2],"[5, 11, 17]"
annulet,False,"[17, 19, 29]","[2, 3, 5, 7, 11, 13]",[]
borrowing,False,"[3, 5, 11, 19]",[],"[2, 13]"
endoblast,False,"[3, 5, 7, 17, 29]","[2, 11, 13]",[19]
unfortunate,False,"[3, 19, 29]","[11, 23]","[5, 13, 17]"
spoil,False,"[2, 3, 7, 11, 19]","[13, 29]",[17]
prediction,False,"[3, 13, 17, 29]","[5, 7]","[2, 19]"
lobe,False,"[5, 11, 19, 29]",[3],[13]
Bougainvillaea,False,[7],"[11, 29]","[13, 17, 19]"
Londoner,False,"[2, 3, 5, 7, 17, 19, 29]",[],"[11, 13]"
catheterisation,False,"[2, 5, 11, 29]",[],"[3, 17]"
stalagmite,False,[5],"[3, 29]","[2, 11, 17, 19]"
scrubbird,False,[19],"[3, 7, 13, 17]","[2, 5, 11]"
jive,False,"[2, 3, 5, 19, 29]",[],[11]
dose,False,"[3, 29]",[19],"[2, 13, 23]"
presidency,False,"[3, 17, 19, 29]","[2, 5, 7]",[23]
Vaisakha,False,"[2, 5, 17]",[11],[3]
mechanisation,False,"[17, 29]",[13],"[2, 3, 5, 19, 23]"
Chamaeleo,False,"[3, 5, 7]",[11],"[2, 23]"
barbette,False,"[3, 5]","[2, 7, 19]",[11]
Pholidae,False,"[13, 29]","[5, 11]","[17, 19]"
Dumpster,False,"[2, 11]","[3, 5, 7, 19]","[17, 23, 29]"
clon,False,"[2, 5, 11, 29]","[7, 13]","[3, 17, 19]"
flamboyant,False,"[2, 3, 5, 19, 29]",[],"[13, 17, 23]"
SIDS,False,"[5, 11, 13, 17, 19, 29]",[],[2]
rhizopodan,False,"[2, 5, 11, 17]",[3],"[13, 23, 29]"
verticalness,False,"[2, 3, 11, 29]",[],"[5, 19]"
Aussie,False,"[3, 17, 19]","[2, 5, 11]","[7, 13]"
graylag,False,"[13, 29]","[2, 3, 7, 11, 17, 19]",[]
malacopterygian,False,"[5, 7, 11, 19, 29]","[2, 17]","[3, 23]"
conglomerate,False,"[3, 5, 29]",[11],"[2, 13, 19]"
esophagoscope,False,"[3, 29]",[2],"[5, 7, 17, 19, 23]"
bap,False,"[3, 5, 17, 19, 29]",[13],[]
loquat,False,"[5, 19, 29]","[2, 3, 7, 11, 13]",[17]
begonia,False,"[5, 7, 11, 19, 29]","[2, 3, 13]",[17]
galbulus,False,"[3, 5, 19, 29]","[7, 11, 13]","[2, 23]"
bologram,False,"[17, 29]",[2],"[3, 5, 13, 19]"
geoduck,False,"[3, 17, 29]","[2, 5, 23]","[11, 19]"
boozing,False,"[3, 13, 19, 29]","[2, 11]",[]
wellbeing,False,"[5, 13]","[3, 19]",[]
scape,False,[3],"[13, 29]","[2, 5, 7, 17]"
lintel,False,"[2, 5, 19, 29]",[3],[17]
prism,False,"[5, 11, 19, 29]","[3, 13]",[2]
starting,False,"[2, 3, 7, 19]","[13, 17, 29]","[5, 11]"
latanier,False,"[2, 3, 5, 19, 29]",[7],[23]
intent,False,"[3, 19]","[11, 29]","[2, 5, 17]"
quill,False,"[5, 11, 29]","[3, 7, 17]","[2, 19]"
halitosis,False,"[2, 11, 13, 17, 29]","[3, 19]","[5, 7]"
attractiveness,False,"[2, 3, 5, 29]","[19, 23]",[11]
paleolith,False,"[3, 29]",[7],"[5, 17]"
Hakea,False,"[2, 3, 17]",[11],"[5, 19, 29]"
fundamentalist,False,"[2, 3, 11, 17]","[13, 19, 23, 29]",[5]
Senecio,False,"[3, 5, 13, 17, 29]","[7, 11, 19]",[23]
propinquity,False,"[2, 11, 29]",[13],"[3, 5]"
rhonchus,False,"[5, 11, 13, 29]","[2, 3, 17]","[7, 19]"
neurotransmitter,False,"[19, 29]","[2, 3, 5, 11]","[17, 23]"
iceboat,False,"[2, 13, 17]","[3, 5, 29]",[]
ephah,False,"[2, 17, 19, 29]",[3],[7]
impracticableness,False,"[3, 5, 11, 13, 17, 29]",[19],[23]
Kuznets,False,"[2, 19, 29]","[3, 11]","[5, 17, 23]"
destalinization,False,"[3, 19, 29]",[7],"[5, 17]"
Malory,False,"[2, 5, 7, 11, 13, 19, 29]",[],"[3, 17]"
Camelidae,False,[5],[3],"[2, 7, 11, 13, 19, 23]"
ceriman,False,[2],"[3, 7, 11, 19]","[23, 29]"
MEd,False,"[2, 5, 29]","[7, 11, 13, 19]","[3, 23]"
centenarian,False,"[5, 11, 17, 19]","[3, 7, 29]",[2]
flindosa,False,"[5, 19]","[3, 29]","[13, 23]"
Zocor,False,"[2, 3, 17, 19, 23, 29]",[13],[5]
lipidosis,False,"[2, 5, 29]","[13, 17]",[3]
MB,False,"[3, 17, 19, 29]",[5],"[2, 11, 13]"
dysthymia,False,"[3, 13, 17, 19, 29]","[2, 11]","[5, 7]"
honeycreeper,False,"[2, 3, 5, 11, 13, 17, 29]",[7],"[19, 23]"
medulla,False,[29],"[2, 17, 19]","[3, 5, 7, 13]"
trisyllable,False,"[3, 5, 13, 19, 29]",[2],"[11, 17, 23]"
coverlet,False,"[2, 5, 19]","[3, 7, 11, 13, 17]","[23, 29]"
Espana,False,"[3, 7, 29]","[5, 13, 19]","[2, 23]"
mayor,False,"[3, 13]","[2, 11]","[7, 17]"
indulgence,False,"[3, 5, 11, 17, 19]",[7],[]
clomiphene,False,"[5, 11, 29]",[],[17]
strickle,False,"[2, 29]","[3, 19]","[11, 17, 23]"
mortmain,False,"[2, 3, 5, 7, 19]","[13, 23]","[11, 17]"
cheroot,False,"[11, 13, 29]","[2, 3, 7]","[5, 17, 23]"
Physostigma,False,"[2, 11, 17, 29]","[5, 13]","[3, 19]"
super,False,"[3, 5, 13, 29]",[],"[2, 7, 11, 17, 19]"
serpent,False,"[3, 5, 7, 11, 19, 29]","[13, 23]","[2, 17]"
Ottawa,False,"[2, 3, 11, 17]","[19, 23]",[13]
eczema,False,"[7, 13, 17, 19, 29]","[3, 5]","[2, 23]"
smattering,False,"[3, 13, 23]",[11],"[2, 5, 19, 29]"
certification,False,"[2, 3, 5, 19, 29]","[13, 17]",[11]
Chomsky,False,"[3, 5, 19]","[11, 29]",[17]
challis,False,"[3, 5, 7, 19]","[13, 23, 29]",[2]
heterodoxy,False,"[5, 29]","[11, 13]","[2, 17, 19]"
comparative,False,"[2, 3, 13, 19]",[17],"[5, 11]"
Megalosauridae,False,"[2, 13]",[],"[7, 11, 17, 19, 29]"
puck,False,"[2, 11]","[3, 13, 17, 19, 29]","[5, 7]"
candyweed,False,"[11, 13, 19, 29]","[3, 5, 17]",[7]
horsepond,False,"[3, 7, 11]","[2, 5, 23]",[19]
